,FX,Gold,Gold_KRWg,DXY,Rate,Bond10,Rate_US,Bond10_US,Spread5D,M2_D,M2_US_D,CPI_D,CoreCPI_D,RealRate_D,SP500,KODEX200,Bitcoin
1793-03-01,,19.39,,,,,,,,,,,,,,,
1793-06-01,,19.39,,,,,,,,,,,,,,,
1793-09-01,,19.39,,,,,,,,,,,,,,,
1793-12-01,,19.39,,,,,,,,,,,,,,,
1794-03-01,,19.39,,,,,,,,,,,,,,,
1794-06-01,,19.39,,,,,,,,,,,,,,,
1794-09-01,,19.39,,,,,,,,,,,,,,,
1794-12-01,,19.39,,,,,,,,,,,,,,,
1795-03-01,,19.39,,,,,,,,,,,,,,,
1795-06-01,,19.39,,,,,,,,,,,,,,,
1795-09-01,,19.39,,,,,,,,,,,,,,,
1795-12-01,,19.39,,,,,,,,,,,,,,,
1796-03-01,,19.39,,,,,,,,,,,,,,,
1796-06-01,,19.39,,,,,,,,,,,,,,,
1796-09-01,,19.39,,,,,,,,,,,,,,,
1796-12-01,,19.39,,,,,,,,,,,,,,,
1797-03-01,,19.39,,,,,,,,,,,,,,,
1797-06-01,,19.39,,,,,,,,,,,,,,,
1797-09-01,,19.39,,,,,,,,,,,,,,,
1797-12-01,,19.39,,,,,,,,,,,,,,,
1798-03-01,,19.39,,,,,,,,,,,,,,,
1798-06-01,,19.39,,,,,,,,,,,,,,,
1798-09-01,,19.39,,,,,,,,,,,,,,,
1798-12-01,,19.39,,,,,,,,,,,,,,,
1799-03-01,,19.39,,,,,,,,,,,,,,,
1799-06-01,,19.39,,,,,,,,,,,,,,,
1799-09-01,,19.39,,,,,,,,,,,,,,,
1799-12-01,,19.39,,,,,,,,,,,,,,,
1800-03-01,,19.39,,,,,,,,,,,,,,,
1800-06-01,,19.39,,,,,,,,,,,,,,,
1800-09-01,,19.39,,,,,,,,,,,,,,,
1800-12-01,,19.39,,,,,,,,,,,,,,,
1801-03-01,,19.39,,,,,,,,,,,,,,,
1801-06-01,,19.39,,,,,,,,,,,,,,,
1801-09-01,,19.39,,,,,,,,,,,,,,,
1801-12-01,,19.39,,,,,,,,,,,,,,,
1802-03-01,,19.39,,,,,,,,,,,,,,,
1802-06-01,,19.39,,,,,,,,,,,,,,,
1802-09-01,,19.39,,,,,,,,,,,,,,,
1802-12-01,,19.39,,,,,,,,,,,,,,,
1803-03-01,,19.39,,,,,,,,,,,,,,,
1803-06-01,,19.39,,,,,,,,,,,,,,,
1803-09-01,,19.39,,,,,,,,,,,,,,,
1803-12-01,,19.39,,,,,,,,,,,,,,,
1804-03-01,,19.39,,,,,,,,,,,,,,,
1804-06-01,,19.39,,,,,,,,,,,,,,,
1804-09-01,,19.39,,,,,,,,,,,,,,,
1804-12-01,,19.39,,,,,,,,,,,,,,,
1805-03-01,,19.39,,,,,,,,,,,,,,,
1805-06-01,,19.39,,,,,,,,,,,,,,,
