,FX,Gold,Gold_KRWg,DXY,Rate,Bond10,Rate_US,Bond10_US,Spread5D,M2_D,M2_US_D,CPI_D,CoreCPI_D,RealRate_D,SP500,KODEX200,Bitcoin
2015-02-26,1100.33,1209.5999755859375,42791.298121962944,89.5837,1.0,2.346,0.11,1.98,1.346,,11920.746428571429,235.342,240.172,1.0870314629352054,2110.739990234375,20447.0859375,236.42599487304688
2015-02-27,1100.65,1212.5999755859375,42909.90284465292,89.6803,1.0,2.346,0.11,1.98,1.346,,11920.664285714285,235.342,240.172,1.0870314629352054,2104.5,20378.921875,253.8280029296875
2015-02-28,1100.65,1212.5999755859375,42909.90284465292,89.6803,1.0,2.346,0.11,1.98,1.346,,11920.582142857143,235.342,240.172,1.0870314629352054,2104.5,20378.921875,254.26300048828125
2015-03-01,1100.65,1212.5999755859375,42909.90284465292,89.6803,1.0,2.276,0.11,2.04,1.332,,11920.5,235.976,240.755,1.0220312844238735,2104.5,20378.921875,260.2019958496094
2015-03-02,1101.46,1207.699951171875,42767.958211062214,89.857,1.0,2.276,0.11,2.04,1.318,,11921.6,235.976,240.755,1.0220312844238735,2117.389892578125,20503.21875,275.6700134277344
2015-03-03,1095.65,1204.0,42412.03080039224,89.5246,1.0,2.276,0.11,2.04,1.3039999999999998,,11922.7,235.976,240.755,1.0220312844238735,2107.780029296875,20579.39453125,281.7019958496094
2015-03-04,1100.2,1200.5999755859375,42467.89246032274,90.096,1.0,2.276,0.11,2.04,1.2899999999999998,,11923.8,235.976,240.755,1.0220312844238735,2098.530029296875,20563.3515625,273.0920104980469
2015-03-05,1100.11,1195.9000244140625,42298.18431553215,90.096,1.0,2.276,0.11,2.04,1.2759999999999998,,11924.9,235.976,240.755,1.0220312844238735,2101.0400390625,20587.41015625,276.1780090332031
2015-03-06,1110.36,1164.0999755859375,41557.06106681246,91.5446,1.0,2.276,0.11,2.04,1.2759999999999998,,11926.0,235.976,240.755,1.0220312844238735,2071.260009765625,20695.666015625,272.7229919433594
2015-03-07,1110.36,1164.0999755859375,41557.06106681246,91.5446,1.0,2.276,0.11,2.04,1.2759999999999998,,11927.1,235.976,240.755,1.0220312844238735,2071.260009765625,20695.666015625,276.260986328125
2015-03-08,1110.36,1164.0999755859375,41557.06106681246,91.5446,1.0,2.276,0.11,2.04,1.2759999999999998,,11928.2,235.976,240.755,1.0220312844238735,2071.260009765625,20695.666015625,274.35400390625
2015-03-09,1114.18,1166.4000244140625,41782.422531279764,91.5574,1.0,2.276,0.11,2.04,1.2759999999999998,,11929.3,235.976,240.755,1.0220312844238735,2079.429931640625,20483.16796875,289.60699462890625
2015-03-10,1123.32,1160.0999755859375,41897.64832173856,92.199,1.0,2.276,0.11,2.04,1.2759999999999998,,11930.4,235.976,240.755,1.0220312844238735,2044.1600341796875,20394.966796875,291.760009765625
2015-03-11,1131.33,1150.699951171875,41854.497910501304,93.091,1.0,2.276,0.11,2.04,1.2759999999999998,,11931.5,235.976,240.755,1.0220312844238735,2040.239990234375,20406.9921875,296.3789978027344
2015-03-12,1120.13,1152.0999755859375,41490.563623163835,92.7449,1.0,2.276,0.11,2.04,1.2759999999999998,,11932.6,235.976,240.755,1.0220312844238735,2065.949951171875,20406.9921875,294.35400390625
2015-03-13,1135.7,1152.5999755859375,42085.54639423053,93.4008,1.0,2.276,0.11,2.04,1.2759999999999998,,11933.7,235.976,240.755,1.0220312844238735,2053.39990234375,20451.09765625,285.3370056152344
2015-03-14,1135.7,1152.5999755859375,42085.54639423053,93.4008,1.0,2.276,0.11,2.04,1.2759999999999998,,11934.8,235.976,240.755,1.0220312844238735,2053.39990234375,20451.09765625,281.885009765625
2015-03-15,1135.7,1152.5999755859375,42085.54639423053,93.4008,1.0,2.276,0.11,2.04,1.2759999999999998,,11935.9,235.976,240.755,1.0220312844238735,2053.39990234375,20451.09765625,286.39300537109375
2015-03-16,1129.62,1153.300048828125,41885.66563754003,93.1269,1.0,2.276,0.11,2.04,1.2759999999999998,,11937.0,235.976,240.755,1.0220312844238735,2081.18994140625,20467.1328125,290.5929870605469
2015-03-17,1127.69,1148.300048828125,41632.822096001684,93.0676,1.0,2.276,0.11,2.04,1.2759999999999998,,11938.1,235.976,240.755,1.0220312844238735,2074.280029296875,20928.189453125,285.5050048828125
2015-03-18,1127.09,1151.4000244140625,41723.00395508047,92.8928,1.0,2.276,0.11,2.04,1.2759999999999998,,11939.2,235.976,240.755,1.0220312844238735,2099.5,20928.189453125,256.29901123046875
2015-03-19,1121.21,1169.0999755859375,42143.378836038035,92.8746,1.0,2.276,0.11,2.04,1.2759999999999998,,11940.300000000001,235.976,240.755,1.0220312844238735,2089.27001953125,20988.3359375,260.9280090332031
2015-03-20,1113.87,1184.800048828125,42429.73396525096,91.6875,1.0,2.276,0.11,2.04,1.2759999999999998,,11941.4,235.976,240.755,1.0220312844238735,2108.10009765625,20924.185546875,261.7489929199219
2015-03-21,1113.87,1184.800048828125,42429.73396525096,91.6875,1.0,2.276,0.11,2.04,1.2759999999999998,,11942.5,235.976,240.755,1.0220312844238735,2108.10009765625,20924.185546875,260.0249938964844
2015-03-22,1113.87,1184.800048828125,42429.73396525096,91.6875,1.0,2.276,0.11,2.04,1.2759999999999998,,11943.6,235.976,240.755,1.0220312844238735,2108.10009765625,20924.185546875,267.9599914550781
2015-03-23,1106.68,1188.0,42269.70726767084,90.9113,1.0,2.276,0.11,2.04,1.2759999999999998,,11944.7,235.976,240.755,1.0220312844238735,2104.419921875,20932.203125,266.739990234375
2015-03-24,1104.2,1191.699951171875,42306.33485247591,90.98,1.0,2.276,0.11,2.04,1.2759999999999998,,11945.800000000001,235.976,240.755,1.0220312844238735,2091.5,20976.30078125,245.59500122070312
2015-03-25,1099.72,1197.300048828125,42332.68955896493,90.6375,1.0,2.276,0.11,2.04,1.2759999999999998,,11946.9,235.976,240.755,1.0220312844238735,2061.050048828125,20976.30078125,246.19700622558594
2015-03-26,1103.59,1205.0999755859375,42758.412463448956,90.8036,1.0,2.276,0.11,2.04,1.2759999999999998,,11948.0,235.976,240.755,1.0220312844238735,2056.14990234375,20783.853515625,248.53199768066406
2015-03-27,1103.6,1199.800048828125,42570.75036207239,91.1357,1.0,2.276,0.11,2.04,1.2759999999999998,,11949.1,235.976,240.755,1.0220312844238735,2061.02001953125,20735.75,247.0290069580078
2015-03-28,1103.6,1199.800048828125,42570.75036207239,91.1357,1.0,2.276,0.11,2.04,1.2759999999999998,,11950.2,235.976,240.755,1.0220312844238735,2061.02001953125,20735.75,252.79800415039062
2015-03-29,1103.6,1199.800048828125,42570.75036207239,91.1357,1.0,2.276,0.11,2.04,1.2759999999999998,,11951.300000000001,235.976,240.755,1.0220312844238735,2061.02001953125,20735.75,242.71299743652344
2015-03-30,1106.39,1184.800048828125,42144.80447611842,91.8314,1.0,2.276,0.11,2.04,1.2759999999999998,,11952.4,235.976,240.755,1.0220312844238735,2086.239990234375,20779.85546875,247.5260009765625
2015-03-31,1107.71,1183.0999755859375,42134.54029148806,92.0599,1.0,2.276,0.11,2.04,1.2759999999999998,,11953.5,235.976,240.755,1.0220312844238735,2067.889892578125,20787.87109375,244.2239990234375
2015-04-01,1098.1,1208.0999755859375,42651.617444690084,91.7881,0.75,2.177,0.12,1.94,1.3061999999999998,,11954.6,236.222,241.346,0.8540309893939106,2059.68994140625,20627.509765625,247.27200317382812
2015-04-02,1089.49,1200.9000244140625,42064.99485906335,91.3544,0.75,2.177,0.12,1.94,1.3363999999999998,,11955.533333333333,236.222,241.346,0.8540309893939106,2066.9599609375,20647.548828125,253.0050048828125
2015-04-03,1085.65,1200.9000244140625,42064.99485906335,90.5271,0.75,2.177,0.12,1.94,1.3665999999999998,,11956.466666666667,236.222,241.346,0.8540309893939106,2066.9599609375,20803.904296875,254.32200622558594
2015-04-04,1085.65,1200.9000244140625,42064.99485906335,90.5271,0.75,2.177,0.12,1.94,1.3968,,11957.4,236.222,241.346,0.8540309893939106,2066.9599609375,20803.904296875,253.69700622558594
2015-04-05,1085.65,1200.9000244140625,42064.99485906335,90.5271,0.75,2.177,0.12,1.94,1.427,,11958.333333333334,236.222,241.346,0.8540309893939106,2066.9599609375,20803.904296875,260.5979919433594
2015-04-06,1083.38,1218.5999755859375,42445.60392079005,90.4251,0.75,2.177,0.12,1.94,1.427,,11959.266666666666,236.222,241.346,0.8540309893939106,2080.6201171875,20795.890625,255.49200439453125
2015-04-07,1093.76,1210.5999755859375,42570.95919420242,91.3037,0.75,2.177,0.12,1.94,1.427,,11960.2,236.222,241.346,0.8540309893939106,2076.330078125,20751.791015625,253.17999267578125
2015-04-08,1093.77,1203.0999755859375,42307.60719200832,91.347,0.75,2.177,0.12,1.94,1.427,,11961.133333333333,236.222,241.346,0.8540309893939106,2081.89990234375,20900.126953125,245.02200317382812
2015-04-09,1093.8,1193.5999755859375,41974.68623453625,92.2056,0.75,2.177,0.12,1.94,1.427,,11962.066666666668,236.222,241.346,0.8540309893939106,2091.179931640625,20884.091796875,243.67599487304688
2015-04-10,1093.13,1204.5999755859375,42335.56902960297,92.5812,0.75,2.177,0.12,1.94,1.427,,11963.0,236.222,241.346,0.8540309893939106,2102.06005859375,21124.65234375,236.07200622558594
2015-04-11,1093.13,1204.5999755859375,42335.56902960297,92.5812,0.75,2.177,0.12,1.94,1.427,,11963.933333333334,236.222,241.346,0.8540309893939106,2102.06005859375,21124.65234375,236.552001953125
2015-04-12,1093.13,1204.5999755859375,42335.56902960297,92.5812,0.75,2.177,0.12,1.94,1.427,,11964.866666666667,236.222,241.346,0.8540309893939106,2102.06005859375,21124.65234375,236.1529998779297
